OBJECTID,WI_UNIQUE_WELL_NO,COUNTY_NAME,STUDY_WELL_NO,PLSS_DTRS,PLSS_DESC,Shape__Area,Shape__Length
309,TK235,Lincoln,244,4340623,2334N06E,2519021.63555908,6351.87263428084
310,UA232,Lincoln,266,4340826,2634N08E,2562911.76580811,6434.96996097668
311,ZL017,Lincoln,435,4320712,1232N07E,2607858.70892334,6450.21152421871
312,OH064,Lincoln,138,4320707,0732N07E,2570861.18237305,6405.94709870509
313,QW834,Lincoln,159,4310504,0431N05E,2598372.42684937,6436.47369136604
314,SX598,Lincoln,225,4310729,2931N07E,2570036.43334961,6442.74910458896
315,XD298,Rusk,349,2350307,0735N03W,2633927.11827087,6493.04670402074
316,NA300,Rusk,113,2350916,1635N09W,2579877.67840576,6423.91162268421
317,QJ428,Rusk,153,2350726,2635N07W,2564604.18443298,6418.85806844422
318,LF607,Rusk,79,2350530,3035N05W,2671982.54937744,6556.8803427381
319,ZT322,Rusk,436,2340401,0134N04W,2463597.37879944,6275.60631342127
320,WI137,Rusk,322,2340714,1434N07W,2571895.05778503,6389.975947534
321,WQ737,Rusk,331,2340932,3234N09W,2542688.30677795,6360.1832333462
322,UV787,Barron,292,2361118,1836N11W,2619993.29067993,6474.1940504788
323,US108,Barron,286,2361436,3636N14W,2532626.39013672,6368.58674462766
324,TR906,Barron,254,2341407,0734N14W,2656860.52392578,6465.07661011664
325,ZB882,Barron,422,2331201,0133N12W,2423757.02767944,6238.55443983602
326,AAB015,Barron,1,2331007,0733N10W,2688183.20309448,6554.48982878806
327,XM751,Barron,364,2331019,1933N10W,2607782.36746216,6488.20698413998
328,XE822,Polk,351,2361831,3136N18W,2559457.43269348,6410.81036858222
329,LA756,Polk,75,2361734,3436N17W,2512604.15661621,6375.53738979191
330,TE605,Polk,235,2351536,3635N15W,2594416.62884521,6439.56883381836
331,YB491,Polk,391,2331924,2433N19W,2559942.89941406,6396.8833837219
332,ZT688,Polk,438,2321713,1332N17W,2514375.15626526,6330.35380669926
333,KQ940,Polk,67,2321534,3432N15W,2630655.53858948,6487.68905396516
334,MU795,Marinette,110,4382024,2438N20E,2631833.33486938,6445.45414101554
335,ZB191,Marinette,420,4362018,1836N20E,2441636.74252319,6274.15841378469
336,UU877,Marinette,289,4341723,2334N17E,2478170.88735962,6317.34142196555
337,XM519,Marinette,363,4332106,0633N21E,2622944.15820313,6537.9281688292
338,QS151,Marinette,158,4331801,0133N18E,2574076.25961304,6409.34872128571
339,TX793,Marinette,262,4331834,3433N18E,2580590.92053223,6416.12513724359
340,XU093,Marinette,377,4321908,0832N19E,2659804.33526611,6474.23348624008
341,TM090,Marinette,247,4312203,0331N22E,2255336.92593384,6230.40157892423
342,MC882,Marinette,94,4302111,1130N21E,2625979.53591919,6473.75995163824
343,XM209,Marinette,362,4302333,3330N23E,2524945.75634766,6343.12604368555
344,UV161,Oneida,290,4390712,1239N07E,2556013.66293335,6408.17267695882
345,DP991,Oneida,26,4390625,2539N06E,2676627.58782959,6775.45389825672
346,XT498,Oneida,376,4391130,3039N11E,2660127.91879272,6775.58628162799
347,XK615,Oneida,359,4391125,2539N11E,2459792.59301758,6286.31057633981
348,AAF770,Oneida,8,4381128,2838N11E,2640029.30993652,6571.77992616665
349,TS070,Oneida,255,4370601,0137N06E,2648590.5993042,6515.63514051041
350,IB646,Oneida,49,4370403,0337N04E,2527893.70440674,6353.24719481718
351,EJ981,Oneida,27,4371026,2637N10E,2667811.55834961,6609.14548656757
352,QL354,Oneida,154,4360705,0536N07E,2995509.54974365,6985.47714422368
353,AAC751,Oneida,2,4360611,1136N06E,2607656.75720215,6477.40654559318
354,RI253,Oneida,176,4360820,2036N08E,2262936.7739563,6121.01183241023
355,XQ839,Oneida,369,4351123,2335N11E,2603415.24569702,6517.54195475505
356,VB657,Oneida,305,4351026,2635N10E,2812308.81546021,6764.41180292843
357,LC654,Price,76,4400309,0940N03E,2485154.22180176,6265.72175837552
358,XY296,Price,385,2400230,3040N02W,2485551.8717041,6295.41375770226
359,NO671,Price,124,4400329,2940N03E,2550295.12908936,6384.62497533871
360,WR918,Price,334,2400134,3440N01W,2626308.47753906,6483.00957594034
361,HK187,Price,40,4370205,0537N02E,2567916.47723389,6412.53115349122
362,XL860,Price,361,2370211,1137N02W,2584757.8482666,6416.01355751017
363,RV752,Price,194,2370112,1237N01W,2696127.34890747,6560.0015319948
364,TO436,Price,250,2360115,1536N01W,2549595.33346558,6397.23454124023
365,ZC972,Price,425,4350114,1435N01E,2539876.6741333,6384.5026998881
366,SW342,Price,224,2350136,3635N01W,2588887.55477905,6448.1943082175
367,UL491,Price,276,4340226,2634N02E,2551729.9128418,6340.80169195667
368,CG275,Florence,20,4401933,3340N19E,2591411.722229,6425.33022858784
369,ZJ137,Florence,433,4391507,0739N15E,2459701.25732422,6255.2722643595
370,AAE101,Florence,5,4381506,0638N15E,2685312.02362061,6565.72678435084
371,XB269,Florence,345,4381911,1138N19E,2499619.71661377,6414.45587228981
372,XC490,Florence,348,4381923,2338N19E,2559596.118927,6394.23570153465
373,UY652,Forest,301,4401216,1640N12E,2562778.16381836,6388.61652387917
374,ND085,Forest,118,4371622,2237N16E,2502720.76763916,6333.3113676583
375,ZB977,Forest,423,4371327,2737N13E,2473585.74749756,6350.35208975139
376,ZK262,Forest,434,4371636,3637N16E,2606380.79119873,6435.51650334345
377,YC546,Forest,394,4361613,1336N16E,2600482.74008179,6444.4216412024
378,UW094,Forest,296,4351318,1835N13E,2463333.68252563,6265.9086659272
379,MS055,Forest,107,4351529,2935N15E,2591269.05096436,6439.73198796145
380,XT232,Forest,374,4341314,1434N13E,2461842.48022461,6284.80385772827
381,OV291,Sawyer,148,2420803,0342N08W,2527676.90611267,6354.14799919252
382,SZ369,Sawyer,229,2410706,0641N07W,2824995.13290405,6694.68003731332
383,YJ697,Sawyer,400,2410808,0841N08W,2579566.94239807,6413.77740847703
384,TX195,Sawyer,261,2400409,0940N04W,2336222.15115356,6263.42244675048
385,YK267,Sawyer,401,2400836,3640N08W,2556091.58282471,6378.67378364003
386,RG643,Sawyer,175,2390911,1139N09W,2573115.62657166,6326.01799125994
387,QY270,Sawyer,166,2390534,3439N05W,2613633.65901184,6479.49692809138
388,TL046,Sawyer,245,2380717,1738N07W,2575875.38439941,6367.2490391558
389,ZY529,Sawyer,445,2380624,2438N06W,2678711.28486633,6523.07619410748
390,AAH645,Sawyer,12,2370910,1037N09W,2541473.02424622,6397.79286297013
391,RP769,Washburn,186,2411318,1841N13W,2712862.70759583,6576.43376245915
392,UV796,Washburn,294,2401323,2340N13W,2516858.73304749,6368.15291258717
393,WY758,Washburn,343,2401124,2440N11W,2463971.04745483,6304.33457236944
394,TD223,Washburn,233,2401125,2540N11W,2487160.78398132,6313.44100471609
395,TJ997,Washburn,243,2381234,3438N12W,2553107.58398438,6395.44103597895
396,XG478,Washburn,356,2371112,1237N11W,2505636.22940063,6408.71768505359
397,XX906,Burnett,384,2421501,0142N15W,2646218.2484436,6534.3311297079
398,YZ832,Burnett,417,2401605,0540N16W,1707215.63204956,5355.65266919921
399,OU031,Burnett,147,2401425,2540N14W,2549943.84413147,6416.1099377022
400,TZ048,Burnett,264,2391619,1939N16W,2425511.1758728,6252.87266010519
401,UV778,Burnett,291,2391531,3139N15W,3185091.31236267,7215.25865136314
402,UO803,Burnett,281,2381929,2938N19W,2606973.08726501,6449.45668837239
403,TJ420,Burnett,241,2371923,2337N19W,2577385.76869202,6418.31293284062
404,UV794,Burnett,293,2371415,1537N14W,2620068.52819824,6473.09006134734
405,ZD365,Burnett,427,2371826,2637N18W,2586133.12805176,6421.12266878851
406,LD962,Vilas,77,4430619,1943N06E,2585810.71630859,6494.15879476882
407,YC009,Vilas,392,4430831,3143N08E,2552050.48477173,6421.86656997327
