X,Y,OBJECTID,SITENAME,SOURCES,SITEURL,MEDIA,DWA,WTM_X,WTM_Y,NOTES,SITE_STATUS,BOTW
714767,411174,20,Former Hamilton Industries Site,Industrial,N/A,Groundwater,NO,714767,411174,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=578316"" target=""_blank"">HAMILTON INDUSTRIES SITE (FORMER) (02-36-578316)</a>"
403249.76,615285.32,21,Hayward City Landfill #1751,Landfill,N/A,Groundwater,NO,403249.76,615285.32,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=34180"" target=""_blank"">HAYWARD CTY LF #1751 (02-58-000380)</a>"
705545,514296,22,JCI/Tyco Fire Training Center (FTC) and Associated Biosolids,"Fire Training, Land Spreading","<a href=""https://dnr.wisconsin.gov/topic/PFAS/Marinette.html"" target=""_blank"">SITE LINK</a>","Drinking Water, Groundwater, Surface Water, Sediment, Soil",YES,705545,514296,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=580694"" target=""_blank"">JCI/TYCO FTC (PFAS) (02-38-580694)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=583856"" target=""_blank"">JCI/TYCO (BIOSOLIDS) (02-38-583856)</a>"
707545,516590,23,JCI/Tyco Stanton St. and Associated Biosolids,"Fire Training, Land Spreading","<a href=""https://dnr.wisconsin.gov/topic/PFAS/Marinette.html"" target=""_blank"">SITE LINK</a>","Drinking Water, Groundwater, Surface Water, Sediment, Soil",YES,707545,516590,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581955"" target=""_blank"">JCI/TYCO STANTON (PFAS) (02-38-581955)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=583856"" target=""_blank"">JCI/TYCO (BIOSOLIDS) (02-38-583856)</a>"
313293.85,505741.9,24,Junkers Landfill,Landfill,N/A,"Drinking Water, Groundwater, Leachate",NO,313293.85,505741.9,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=33100"" target=""_blank"">JUNKERS LF (02-56-000088)</a>"
419227.61,378582.390000001,25,La Crosse Airport ,"Airport, Fire Training",N/A,"Drinking Water, Groundwater, Surface Water, Sediment, Soil",YES,419227.61,378582.39,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587347"" target=""_blank"">LA CROSSE AIRPORT PFAS INVESTIGATION (02-32-587347)</a>"
644210.8,290295.699999999,26,Leather Rich,Dry Cleaner,N/A,Groundwater,NO,644210.8,290295.7,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581237"" target=""_blank"">LEATHER RICH INC (02-68-581237)</a>"
702521.24,401109.699999999,27,Former Newton Township Gravel Pit,Landfill,N/A,"Drinking Water, Groundwater, Soil",NO,702521.24,401109.7,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=33760"" target=""_blank"">MANITOWOC CITY / FORMER NEWTON TN GRAVEL PIT (02-36-000268)</a>"
707229.5,516493.439999999,28,Marinette Marine Building 34,Industrial,N/A,Groundwater,NO,707229.5,516493.44,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587281"" target=""_blank"">MARINETTE MARINE BLDG 34 (02-38-587281)</a>"
693061.08,279771.189999999,30,Mid-America Steel Drum Company,Unknown,N/A,Groundwater,NO,693061.08,279771.19,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=560089"" target=""_blank"">MID-AMERICA STEEL DRUM COMPANY INC/KITZINGER (02-41-560089)</a>"
667955.52,397338.4,31,Former Mirro Plant #20,Industrial,N/A,"Groundwater, Soil",NO,667955.52,397338.4,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=520157"" target=""_blank"">MIRRO PLT #20 (FORMER) (02-08-520157)</a>"
706645,404510,32,Former Mirro Plant #9,Industrial,N/A,"Groundwater, Soil",NO,706645,404510,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=545108"" target=""_blank"">MIRRO PLT 9 (FORMER) - LGU (02-36-545108)</a>"
691039.38,285725.300000001,33,Milwaukee Area of Concern (AOC) - Special PFAS Study,Multi-site,N/A,"Surface Water, Sediment",NO,691039.38,285725.3,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=585337"" target=""_blank"">MKE AOC SPECIAL PFAS STUDY (02-41-585337)</a>"
645395.86,421467.5,34,NW Mauthe (Superfund NPL),Dry Cleaner,N/A,Groundwater,NO,645395.86,421467.5,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=33249"" target=""_blank"">N W MAUTHE (SF NPL) (02-45-000127)</a>"
317265.32,521955.0,35,New Richmmond Landfill #2492,Landfill,N/A,Groundwater,NO,317265.32,521955,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=33140"" target=""_blank"">NEW RICHMOND CTY LF #2492 (02-56-000097)</a>"
701479.1,253272.77,36,One Hour Martinizing,Dry Cleaner,N/A,Groundwater,NO,701479.1,253272.77,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=552198"" target=""_blank"">ONE HOUR MARTINIZING (02-52-552198)</a>"
567659.61,572606.619999999,37,Rhinelander Landfill,Landfill,N/A,"Groundwater, Leachate",NO,567659.61,572606.62,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=200967"" target=""_blank"">RHINELANDER CTY LF (02-44-200967)</a>"
707157,404950,38,Riverpoint District,"Unknown, Firefighting Foam",N/A,Groundwater,NO,707157,404950,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=585491"" target=""_blank"">RIVERPOINT DISTRICT- LGU (02-36-585491)</a>"
597537.62,278589.039999999,39,RockGen Energy Center,Firefighting Foam,N/A,"Drinking Water, Groundwater, Soil",NO,597537.62,278589.04,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587341"" target=""_blank"">ROCKGEN ENERGY CENTER (02-13-587341)</a>"
654385,424262,40,Former Sandies Dry Cleaners & Laundry,Dry Cleaner,N/A,Groundwater,NO,654385,424262,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=552222"" target=""_blank"">SANDIES DRY CLEANERS  LAUNDRY(FORMER) - SL (02-45-552222)</a>"
663290.19,281443.59,41,Schaefer Brush,Industrial,N/A,Groundwater,NO,663290.19,281443.59,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=563736"" target=""_blank"">SCHAEFER BRUSH MFG CO (02-68-563736)</a>"
688412.87,288657.6,42,Scot Industries,Industrial,N/A,Groundwater,NO,688412.87,288657.6,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587342"" target=""_blank"">SCOT INDUSTRIES INC (02-41-587342)</a>"
694535,272686,43,Sunrise Shopping Center,Dry Cleaner,N/A,Groundwater,NO,694535,272686,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=576336"" target=""_blank"">SUNRISE SHOPPING CENTER (02-41-576336)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=579429"" target=""_blank"">SUNRISE SHOPPING CENTER PAH INVESTIGATION  (02-41-579429)</a>"
361511.28,692726.390000001,44,Superior Refining Company ,Industrial,N/A,"Groundwater, Surface Water, Sediment, Soil",NO,361511.28,692726.39,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581317"" target=""_blank"">SUPERIOR REFINING COMPANY LLC (02-16-581317)</a>"
